2024 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Hampshire,06830000,1.0,1.0,100.0,       1,       1,100.0,      76,      71,93.4
Hancock,01210000,1.0,1.0,100.0,       1,       1,100.0,       9,       7,77.8
Hanover,01220000,1.0,1.0,100.0,       4,       4,100.0,     209,     189,90.4
Harvard,01250000,1.0,1.0,100.0,       3,       3,100.0,      94,      81,86.2
Hatfield,01270000,1.0,1.0,100.0,       2,       2,100.0,      43,      37,86.0
Haverhill,01280000,1.0,1.0,100.0,      16,      14,87.5,     665,     578,86.9
Hawlemont,06850000,1.0,1.0,100.0,       1,       1,100.0,      11,       7,63.6
Helen Y. Davis Leadership Academy Charter Public (District),04190000,1.0,1.0,100.0,       1,       0,0.0,      17,       7,41.2
Hill View Montessori Charter Public (District),04550000,1.0,1.0,100.0,       1,       1,100.0,      24,      20,83.3
Hilltown Cooperative Charter Public (District),04500000,1.0,1.0,100.0,       1,       1,100.0,      24,      21,87.5
Hingham,01310000,1.0,1.0,100.0,       7,       7,100.0,     318,     291,91.5
Holbrook,01330000,1.0,1.0,100.0,       2,       2,100.0,      99,      85,85.9
Holland,01350000,1.0,1.0,100.0,       1,       1,100.0,      21,      20,95.2
Holliston,01360000,1.0,1.0,100.0,       4,       3,75.0,     218,     194,89.0
Holyoke,01370000,1.0,1.0,100.0,      14,      10,71.4,     446,     323,72.4
Holyoke Community Charter (District),04530000,1.0,1.0,100.0,       1,       1,100.0,      42,      30,71.4
Hoosac Valley Regional,06030000,1.0,1.0,100.0,       3,       3,100.0,      95,      74,77.9
Hopedale,01380000,1.0,1.0,100.0,       3,       3,100.0,     103,      93,90.3
Hopkinton,01390000,1.0,1.0,100.0,       5,       3,60.0,     308,     277,89.9
Hudson,01410000,1.0,0.0,0.0,       5,       5,100.0,     243,     212,87.2
Hull,01420000,1.0,1.0,100.0,       3,       3,100.0,      80,      71,88.8
Innovation Academy Charter (District),04350000,1.0,1.0,100.0,       1,       1,100.0,      77,      58,75.3
Ipswich,01440000,1.0,1.0,100.0,       4,       2,50.0,     169,     151,89.3
KIPP Academy Boston Charter School (District),04630000,1.0,1.0,100.0,       1,       1,100.0,      44,      30,68.2
KIPP Academy Lynn Charter (District),04290000,1.0,1.0,100.0,       3,       3,100.0,     119,      74,62.2
King Philip,06900000,1.0,0.0,0.0,       2,       1,50.0,     144,     132,91.7
Kingston,01450000,1.0,1.0,100.0,       2,       1,50.0,      80,      71,88.8
Lawrence,01490000,1.0,0.0,0.0,      33,      29,87.9,"   1,203",     962,80.0
Lawrence Family Development Charter (District),04540000,1.0,1.0,100.0,       1,       0,0.0,      43,      29,67.4
Learning First Charter Public School (District),04860000,1.0,1.0,100.0,       2,       2,100.0,      32,      28,87.5
Lee,01500000,1.0,1.0,100.0,       2,       2,100.0,      73,      62,84.9
Leicester,01510000,1.0,1.0,100.0,       3,       3,100.0,     104,      82,78.8
Lenox,01520000,1.0,0.0,0.0,       2,       1,50.0,      77,      68,88.3
Leominster,01530000,1.0,1.0,100.0,      10,       8,80.0,     446,     397,89.0
Leverett,01540000,1.0,1.0,100.0,       1,       1,100.0,      17,      15,88.2
Lexington,01550000,1.0,1.0,100.0,      10,       9,90.0,     649,     582,89.7
Libertas Academy Charter School (District),35140000,1.0,1.0,100.0,       1,       0,0.0,      48,      28,58.3
