2020 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Hopedale,01380000,1,1,100.0,       3,       3,100.0,      95,      85,89.5
Hopkinton,01390000,1,1,100.0,       5,       5,100.0,     286,     255,89.2
Hudson,01410000,1,1,100.0,       5,       3,60.0,     230,     212,92.2
Hull,01420000,1,1,100.0,       3,       3,100.0,      85,      81,95.3
Innovation Academy Charter (District),04350000,1,1,100.0,       3,       3,100.0,      78,      65,83.3
Ipswich,01440000,1,1,100.0,       4,       3,75.0,     164,     147,89.6
KIPP Academy Boston Charter School (District),04630000,1,1,100.0,       3,       2,66.7,      39,      24,61.5
KIPP Academy Lynn Charter (District),04290000,1,1,100.0,       2,       2,100.0,     106,      62,58.5
King Philip,06900000,1,1,100.0,       2,       1,50.0,     134,     112,83.6
Kingston,01450000,1,1,100.0,       2,       0,0.0,      72,      68,94.4
Lawrence,01490000,1,1,100.0,      30,      26,86.7,"   1,051",     911,86.7
Lawrence Family Development Charter (District),04540000,1,1,100.0,       1,       1,100.0,      62,      50,80.6
Lee,01500000,1,1,100.0,       2,       2,100.0,      73,      66,90.4
Leicester,01510000,1,1,100.0,       4,       2,50.0,     119,     103,86.6
Lenox,01520000,1,1,100.0,       2,       2,100.0,      82,      76,92.7
Leominster,01530000,1,1,100.0,      12,       6,50.0,     452,     407,90.0
Leverett,01540000,1,1,100.0,       1,       0,0.0,      17,      15,88.2
Lexington,01550000,1,1,100.0,      10,       7,70.0,     652,     587,90.0
Libertas Academy Charter School (District),35140000,1,1,100.0,       1,       0,0.0,      18,       7,38.9
Lincoln,01570000,1,1,100.0,       4,       3,75.0,     127,     112,88.2
Lincoln-Sudbury,06950000,1,1,100.0,       1,       1,100.0,     140,     134,95.7
Littleton,01580000,1,1,100.0,       4,       3,75.0,     132,     114,86.4
Longmeadow,01590000,1,1,100.0,       6,       6,100.0,     251,     234,93.2
Lowell,01600000,1,0,0.0,      29,      24,82.8,"   1,068",     995,93.2
Lowell Community Charter Public (District),04560000,1,1,100.0,       2,       1,50.0,      65,      51,78.5
Lowell Middlesex Academy Charter (District),04580000,1,1,100.0,       1,       1,100.0,      11,       9,81.8
Ludlow,01610000,1,1,100.0,       5,       5,100.0,     233,     216,92.7
Lunenburg,01620000,1,1,100.0,       4,       3,75.0,     119,     104,87.4
Lynn,01630000,1,1,100.0,      26,      24,92.3,"   1,136","   1,005",88.5
Lynnfield,01640000,1,1,100.0,       4,       3,75.0,     171,     153,89.5
MATCH Charter Public School (District),04690000,1,1,100.0,       3,       2,66.7,     110,      91,82.7
Ma Academy for Math and Science,04680000,1,1,100.0,       1,       1,100.0,       6,       5,83.3
Malden,01650000,1,1,100.0,       7,       5,71.4,     470,     411,87.4
Manchester Essex Regional,06980000,1,1,100.0,       4,       4,100.0,     133,     116,87.2
Mansfield,01670000,1,1,100.0,       4,       4,100.0,     306,     280,91.5
Map Academy Charter School (District),35170000,2,2,100.0,       2,       2,100.0,      12,       5,41.7
Marblehead,01680000,1,0,0.0,       6,       6,100.0,     262,     237,90.5
Marblehead Community Charter Public (District),04640000,1,0,0.0,       1,       0,0.0,      25,      19,76.0
Marion,01690000,1,1,100.0,       1,       0,0.0,      36,      32,88.9
Marlborough,01700000,1,1,100.0,       5,       5,100.0,     391,     357,91.3
Marshfield,01710000,1,1,100.0,       7,       6,85.7,     336,     315,93.8
Martha's Vineyard,07000000,1,1,100.0,       1,       1,100.0,      78,      69,88.5
Martha's Vineyard Charter (District),04660000,1,1,100.0,       1,       1,100.0,      20,      20,100.0
Martin Luther King Jr. Charter School of Excellence (District),04920000,1,1,100.0,       1,       1,100.0,      36,      16,44.4
Masconomet,07050000,1,0,0.0,       2,       1,50.0,     139,     131,94.2
Mashpee,01720000,1,1,100.0,       3,       3,100.0,     144,     129,89.6
Mattapoisett,01730000,1,1,100.0,       1,       1,100.0,      40,      38,95.0
Maynard,01740000,1,0,0.0,       5,       4,80.0,     117,     100,85.5
Medfield,01750000,1,1,100.0,       5,       4,80.0,     231,     200,86.6
Medford,01760000,1,1,100.0,       9,       8,88.9,     407,     368,90.4
Medway,01770000,1,1,100.0,       4,       4,100.0,     168,     144,85.7
Melrose,01780000,1,1,100.0,       8,       6,75.0,     277,     244,88.1
