2012-13 Teacher Salaries Report,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Southampton,02750000,"      $2,607,927","  $66,191",     39.4
Southborough,02760000,"      $8,864,163","  $86,395",    102.6
Southbridge,02770000,"     $10,897,740","  $65,022",    167.6
Southeastern                 ,08720000,"      $8,786,626","  $70,917",    123.9
Southern Berkshire,07650000,"      $4,727,227","  $60,219",     78.5
Southern Worcester           ,08760000,"      $7,562,974","  $68,817",    109.9
Southwick-Tolland-Granville,07660000,"      $8,561,657","  $61,906",    138.3
Spencer-E Brookfield,07670000,"      $9,144,847","  $65,601",    139.4
Springfield,02810000,"    $124,346,728","  $58,693","  2,118.6"
Stoneham,02840000,"     $12,541,586","  $67,103",    186.9
Stoughton,02850000,"     $21,375,303","  $73,683",    290.1
Sturbridge,02870000,"      $4,823,373","  $67,839",     71.1
Sudbury,02880000,"     $15,046,706","  $70,279",    214.1
Sunderland,02890000,"        $818,095","  $51,453",     15.9
Sutton,02900000,"      $6,989,746","  $67,469",    103.6
Swampscott,02910000,"     $13,349,513","  $75,209",    177.5
Swansea,02920000,"      $9,618,748","  $62,459",    154.0
Tantasqua,07700000,"     $10,350,009","  $72,530",    142.7
Taunton,02930000,"     $36,396,830","  $73,514",    495.1
Tewksbury,02950000,"     $17,514,032","  $70,593",    248.1
Tisbury,02960000,"      $2,806,981","  $78,848",     35.6
Topsfield,02980000,"      $3,515,671","  $75,121",     46.8
Tri County                   ,08780000,"      $7,220,188","  $78,823",     91.6
Triton,07730000,"     $15,872,983","  $76,570",    207.3
Truro,03000000,"      $1,004,055","  $66,056",     15.2
Tyngsborough,03010000,"      $9,108,491","  $67,974",    134.0
Up-Island,07740000,"      $3,039,149","  $78,127",     38.9
Upper Cape Cod               ,08790000,"      $4,862,436","  $72,574",     67.0
Uxbridge,03040000,"      $9,179,517","  $68,097",    134.8
Wachusett,07750000,"     $30,709,269","  $67,582",    454.4
Wakefield,03050000,"     $16,371,131","  $67,316",    243.2
Wales,03060000,"        $673,783","  $62,970",     10.7
Walpole,03070000,"     $19,796,173","  $71,081",    278.5
Waltham,03080000,"     $31,935,626","  $70,204",    454.9
Ware,03090000,"      $5,506,167","  $59,462",     92.6
Wareham,03100000,"     $13,334,467","  $60,832",    219.2
Watertown,03140000,"     $17,109,646","  $74,293",    230.3
Wayland,03150000,"     $17,730,644","  $89,099",    199.0
Webster,03160000,"      $8,669,677","  $67,155",    129.1
Wellesley,03170000,"     $30,734,826","  $82,799",    371.2
Wellfleet,03180000,"      $1,240,161","  $72,951",     17.0
West Boylston,03220000,"      $5,344,133","  $68,427",     78.1
West Bridgewater,03230000,"      $5,630,509","  $63,766",     88.3
West Springfield,03320000,"     $18,579,815","  $62,390",    297.8
Westborough,03210000,"     $20,021,466","  $76,127",    263.0
Westfield,03250000,"     $30,034,103","  $66,698",    450.3
Westford,03260000,"     $25,344,055","  $70,361",    360.2
Westhampton,03270000,"        $735,104","  $58,342",     12.6
Weston,03300000,"     $17,499,082","  $87,321",    200.4
Westport,03310000,"      $7,332,512","  $62,671",    117.0
Westwood,03350000,"     $17,882,321","  $80,442",    222.3
Weymouth,03360000,"     $31,937,412","  $74,204",    430.4
Whately,03370000,"        $681,954","  $66,858",     10.2
Whitman-Hanson,07800000,"     $17,694,286","  $74,190",    238.5
Whittier                     ,08850000,"      $8,477,501","  $77,775",    109.0
Williamsburg,03400000,"      $1,041,548","  $64,293",     16.2
Williamstown,03410000,"      $2,477,398","  $72,017",     34.4
Wilmington,03420000,"     $18,928,383","  $68,334",    277.0
Winchendon,03430000,"      $7,789,117","  $69,546",    112.0
Winchester,03440000,"     $22,903,299","  $74,169",    308.8
Winthrop,03460000,"      $8,699,269","  $57,879",    150.3
Woburn,03470000,"     $25,538,642","  $74,197",    344.2
Worcester,03480000,"    $144,686,011","  $91,504","  1,581.2"
Wrentham,03500000,"      $5,130,091","  $66,625",     77.0
State Total,00000000,"  $4,908,040,568","  $71,983"," 68,183.4"
