2010-11 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Innovation Academy Charter (District),04350000,     203,  19.4,        593,  46.5,  53.5,   0.0,  21.9,   9.3
Ipswich,01440000,     542,  18.8,"      2,109",  50.8,  49.2,   0.6,  13.7,   9.9
KIPP Academy Lynn Charter (District),04290000,      84,  30.8,        370,  51.6,  48.4,   1.6,  10.5,  88.9
King Philip,06900000,     701,  21.0,"      2,118",  48.7,  51.3,   0.0,  10.7,   6.1
Kingston,01450000,     385,  22.6,"      1,195",  49.0,  51.0,   0.2,  11.0,  13.1
Lakeville,01460000,     108,  24.7,        670,  46.9,  53.1,   0.0,  16.4,   9.3
Lanesborough,01480000,      48,  17.5,        254,  54.3,  45.7,   0.8,  16.9,  15.7
Lawrence,01490000,"   4,411",  19.2,"     12,731",  47.0,  53.0,  23.9,  19.0,  87.3
Lawrence Family Development Charter (District),04540000,     136,  20.1,        590,  56.1,  43.9,  39.7,   5.8,  92.2
Lee,01500000,     369,  14.2,        807,  50.8,  49.2,   2.0,  12.9,  31.2
Leicester,01510000,,,,,,,,
Lenox,01520000,     378,  13.5,        792,  50.0,  50.0,   0.8,  10.1,  12.8
Leominster,01530000,"   1,775",  21.6,"      6,897",  47.8,  52.2,   5.6,  16.2,  44.2
Leverett,01540000,      61,  17.6,        160,  48.8,  51.2,   0.0,  22.5,  28.7
Lexington,01550000,"   1,996",  19.6,"      6,367",  49.6,  50.4,   5.5,  15.9,   6.1
Lincoln,01570000,     417,  17.7,"      1,077",  50.6,  49.4,   2.6,  11.8,   9.9
Lincoln-Sudbury,06950000,     538,  20.4,"      1,612",  49.5,  50.5,   0.3,  16.3,   4.3
Littleton,01580000,     398,  23.6,"      1,578",  51.9,  48.1,   0.9,  16.7,   1.1
Longmeadow,01590000,"   1,061",  19.6,"      3,007",  47.2,  52.8,   1.0,  17.9,   4.1
Lowell,01600000,"   5,959",  20.4,"     13,299",  48.1,  51.9,  33.2,  14.0,  72.3
Lowell Community Charter Public (District),04560000,     107,  40.7,        790,  52.8,  47.2,  36.1,  10.1,  81.4
Lowell Middlesex Academy Charter (District),04580000,      51,  12.2,        108,  47.2,  52.8,   0.0,  22.2,  64.8
Ludlow,01610000,"   1,099",  18.6,"      3,002",  50.1,  49.9,   1.3,  15.8,  24.9
Lunenburg,01620000,     439,  24.7,"      1,633",  49.0,  51.0,   0.5,  15.7,  10.0
Lynn,01630000,"   4,096",  19.8,"     14,011",  47.9,  52.1,  21.3,  15.2,  78.6
Lynnfield,01640000,     715,  20.9,"      2,309",  48.9,  51.1,   0.1,  12.8,   5.5
MATCH Charter Public School (District),04690000,      91,  23.6,        447,  51.9,  48.1,   0.0,  15.9,  77.0
Ma Academy for Math and Science,04680000,      18,  15.9,         48,  35.4,  64.6,   0.0,   0.0,   0.0
Malden,01650000,"   1,920",  22.2,"      6,583",  47.6,  52.4,  14.4,  13.3,  58.6
Manchester Essex Regional,06980000,     513,  19.4,"      1,519",  50.4,  49.6,   0.3,  13.9,   7.8
Mansfield,01670000,"   1,004",  23.8,"      4,828",  48.5,  51.5,   1.0,  17.5,  11.1
Marblehead,01680000,     989,  19.5,"      3,224",  49.9,  50.1,   0.9,  14.6,   8.3
Marblehead Community Charter Public (District),04640000,     122,  20.4,        230,  44.8,  55.2,   0.0,  16.1,   3.9
Marion,01690000,      95,  20.1,        461,  48.6,  51.4,   0.2,  14.1,   4.1
Marlborough,01700000,"   1,601",  18.0,"      4,581",  48.8,  51.2,  11.4,  19.9,  37.6
Marshfield,01710000,"   1,191",  26.1,"      4,656",  48.9,  51.1,   0.3,  15.7,  12.3
Martha's Vineyard Charter (District),04660000,      72,  15.0,        181,  51.9,  48.1,   3.9,  17.7,  23.2
Marthas Vineyard,07000000,     370,  13.5,        672,  47.6,  52.4,   1.9,  24.9,   9.8
Martin Luther King Jr. Charter School of Excellence (District),04920000,      95,  21.4,        407,  44.2,  55.8,   7.1,   9.8,  83.8
Masconomet,07050000,     804,  18.1,"      2,086",  50.8,  49.2,   0.2,  11.8,   2.1
Mashpee,01720000,     469,  14.2,"      1,777",  49.4,  50.6,   1.1,  17.2,  24.6
Mattapoisett,01730000,     123,  18.2,        521,  49.1,  50.9,   0.4,  11.7,   7.9
Maynard,01740000,     608,  16.3,"      1,300",  49.5,  50.5,   1.5,  17.0,  17.8
Medfield,01750000,"   1,094",  21.2,"      2,939",  50.0,  50.0,   0.2,  11.2,   2.3
Medford,01760000,,,,,,,,
Medway,01770000,"   1,165",  18.6,"      2,639",  49.9,  50.1,   0.2,  16.2,   6.7
Melrose,01780000,"   1,289",  22.1,"      3,775",  49.1,  50.9,   2.3,  14.1,  14.6
Mendon-Upton,07100000,     898,  19.8,"      2,714",  50.6,  49.4,   0.6,  11.4,   6.4
Methuen,01810000,"   1,967",  22.1,"      7,000",  48.7,  51.3,   7.1,  12.2,  29.3
Middleborough,01820000,     747,  22.8,"      3,476",  47.5,  52.5,   0.6,  16.0,  30.3
Middleton,01840000,     279,  16.8,        818,  48.7,  51.3,   2.6,  16.3,   4.8
Milford,01850000,"   1,369",  19.5,"      4,209",  48.7,  51.3,   6.3,  14.0,  28.2
Millbury,01860000,     714,  18.6,"      1,841",  50.4,  49.6,   1.3,  18.1,  21.2
Millis,01870000,,,,,,,,
Milton,01890000,,,,,,,,
Minuteman Regional Vocational Technical,08300000,     406,  13.4,        617,  31.0,  69.0,   0.5,  46.5,  25.3
Mohawk Trail,07170000,     351,  15.0,"      1,083",  50.0,  50.0,   0.4,  19.5,  36.8
Monson,01910000,     324,  24.7,"      1,386",  51.6,  48.4,   0.6,  13.5,  23.2
Montachusett Regional Vocational Technical,08320000,     658,  19.5,"      1,403",  45.0,  55.0,   0.8,  14.5,  30.5
Mount Greylock,07150000,     272,  15.9,        602,  48.3,  51.7,   0.3,  13.3,  11.1
Mystic Valley Regional Charter (District),04700000,     596,  25.6,"      1,384",  53.2,  46.8,   0.0,   8.5,  24.1
Nahant,01960000,      16,  49.0,        235,  48.9,  51.1,   0.0,   7.2,   4.3
Nantucket,01970000,     547,  16.3,"      1,293",  48.4,  51.6,   7.7,  13.5,  10.9
Narragansett,07200000,     546,  17.6,"      1,475",  50.6,  49.4,   0.0,  14.4,  26.2
Nashoba,07250000,"   1,276",  19.5,"      3,492",  48.5,  51.5,   0.7,  10.5,   7.9
Nashoba Valley Regional Vocational Technical,08520000,     403,  15.5,        664,  43.7,  56.3,   0.0,  32.7,  21.8
Natick,01980000,"   1,472",  20.1,"      4,810",  48.4,  51.6,   0.9,  13.3,   8.9
Nauset,06600000,     704,  16.1,"      1,527",  49.1,  50.9,   0.5,  15.5,  12.6
Needham,01990000,"   1,283",  19.8,"      5,357",  49.5,  50.5,   1.1,  13.1,   5.4
Neighborhood House Charter (District),04440000,     203,  18.8,        397,  49.4,  50.6,   3.5,  14.4,  75.3
New Bedford,02010000,"   3,986",  17.7,"     12,539",  47.3,  52.7,   4.1,  19.4,  71.2
New Leadership Charter (District),04710000,     261,  13.4,        490,  56.9,  43.1,   0.4,   8.2,  76.9
New Salem-Wendell,07280000,      32,  15.8,        145,  50.3,  49.7,   0.0,  15.9,  36.6
Newburyport,02040000,     692,  19.8,"      2,276",  48.4,  51.6,   0.9,  14.0,   9.5
Newton,02070000,"   4,432",  19.2,"     11,921",  49.0,  51.0,   6.5,  18.9,  10.6
Norfolk,02080000,     289,  20.5,"      1,008",  47.0,  53.0,   0.0,  19.3,   4.8
Norfolk County Agricultural,09150000,,,,,,,,
North Adams,02090000,     433,  23.9,"      1,553",  47.6,  52.4,   1.2,  24.3,  57.7
North Andover,02110000,     969,  22.0,"      4,635",  49.1,  50.9,   1.2,  12.1,  11.8
North Attleborough,02120000,"   1,331",  19.1,"      4,674",  48.7,  51.3,   1.0,  15.3,  15.3
North Brookfield,02150000,     227,  16.3,        587,  50.8,  49.2,   0.5,  13.6,  35.1
North Central Charter Essential (District),04740000,     196,  13.6,        368,  49.7,  50.3,   0.3,  21.5,  46.2
North Middlesex,07350000,"   1,200",  20.2,"      3,902",  49.8,  50.2,   0.3,  16.7,  13.0
North Reading,02170000,"   1,038",  22.1,"      2,673",  49.3,  50.7,   0.3,  14.8,   8.2
North Shore Regional Vocational Technical,08540000,,,,,,,,
Northampton,02100000,     893,  16.9,"      2,686",  49.7,  50.3,   1.5,  19.1,  28.9
Northampton-Smith Vocational Agricultural,04060000,     276,  12.3,        444,  36.5,  63.5,   1.6,  40.5,  37.6
Northboro-Southboro,07300000,     499,  18.4,"      1,433",  51.0,  49.0,   0.8,   9.0,   4.4
Northborough,02130000,     655,  18.4,"      1,895",  48.6,  51.4,   4.0,  12.7,   7.7
Northbridge,02140000,     843,  19.6,"      2,568",  47.7,  52.3,   0.4,  15.9,  24.5
Northeast Metropolitan Regional Vocational Technical,08530000,     491,  21.1,"      1,265",  41.3,  58.7,   3.4,  26.3,  50.0
Northern Berkshire Regional Vocational Technical,08510000,     229,  14.2,        474,  43.0,  57.0,   0.0,  19.0,  39.7
Norton,02180000,     915,  20.4,"      2,760",  47.7,  52.3,   0.1,  18.3,  16.4
Norwell,02190000,     637,  21.2,"      2,349",  51.0,  49.0,   0.2,  13.6,   3.7
Norwood,02200000,,,,,,,,
Oak Bluffs,02210000,     114,  24.8,        408,  48.8,  51.2,   5.1,  21.6,  17.9
Old Colony Regional Vocational Technical,08550000,     293,  14.5,        557,  38.6,  61.4,   0.0,  21.0,  19.7
Old Rochester,07400000,     450,  19.4,"      1,185",  49.8,  50.2,   0.1,  13.1,   9.2
Orange,02230000,     171,  17.0,        786,  50.0,  50.0,   0.0,  14.8,  52.3
Orleans,02240000,      80,  13.4,        198,  47.5,  52.5,   0.5,  23.7,  16.7
Oxford,02260000,     754,  18.9,"      1,985",  47.5,  52.5,   0.1,  14.5,  28.3
Palmer,02270000,     599,  16.9,"      1,591",  48.3,  51.7,   1.2,  18.1,  35.9
Pathfinder Regional Vocational Technical,08600000,     430,  11.6,        637,  35.9,  64.1,   0.0,  31.4,  36.1
Peabody,02290000,"   2,250",  19.4,"      6,029",  48.9,  51.1,   4.9,  18.3,  30.5
