2017-18 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Ralph C Mahar,07550000,      59.6,  98.3,  12.7 to 1,  93.2,  95.0
Randolph,02440000,     237.1, 100.0,  11.9 to 1,  83.1,  91.6
Reading,02460000,     305.6, 100.0,  13.8 to 1,  87.0,  94.9
Revere,02480000,     538.7,  99.4,  14.0 to 1,  79.9,  91.6
Richmond,02490000,      19.2,  97.9,   9.3 to 1,  99.0,  90.6
Rising Tide Charter Public (District),04830000,      61.0,  68.4,  10.8 to 1,  52.9,  82.0
River Valley Charter (District),04820000,      20.8,  91.3,  13.9 to 1,  75.8,  75.9
Rochester,02500000,      38.1, 100.0,  13.1 to 1,  91.3,  99.2
Rockland,02510000,     173.8,  99.4,  12.6 to 1,  76.7,  92.6
Rockport,02520000,      88.5,  98.3,  10.2 to 1,  81.5,  90.4
Rowe,02530000,       8.0, 100.0,   8.9 to 1, 100.0, 100.0
Roxbury Preparatory Charter (District),04840000,     117.9,  55.7,  12.1 to 1,  22.8,  85.1
Sabis International Charter (District),04410000,      66.0,  91.7,  23.8 to 1,  75.7,  77.1
Salem,02580000,     357.3,  97.6,  10.3 to 1,  76.1,  90.9
Salem Academy Charter (District),04850000,      46.1,  75.6,  10.3 to 1,  54.4,  66.7
Sandwich,02610000,     199.9,  99.5,  12.9 to 1,  81.8,  90.9
Saugus,02620000,     201.5,  99.5,  12.8 to 1,  87.3,  93.5
Savoy,02630000,       4.9, 100.0,  12.2 to 1,  68.3, 100.0
Scituate,02640000,     244.6,  99.8,  12.2 to 1,  87.2,  96.0
Seekonk,02650000,     156.7,  99.9,  12.8 to 1,  92.6,  96.8
Seven Hills Charter Public (District),04860000,      37.4,  86.6,  17.8 to 1,  34.7,  76.0
