2019-20 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Holliston,01360000,     212.5,  99.4,  13.7 to 1,  88.0,  94.7,  90.9
Holyoke,01370000,     395.6,  85.5,  13.5 to 1,  58.3,  75.5,  75.2
Holyoke Community Charter (District),04530000,      43.0,  72.1,  16.3 to 1,  62.8,  90.7,  48.8
Hoosac Valley Regional,06030000,      86.0,  95.4,  12.8 to 1,  86.1,  94.2,  83.9
Hopedale,01380000,      97.2, 100.0,  11.1 to 1,  78.5,  90.1,  94.1
Hopkinton,01390000,     268.1,  99.4,  14.4 to 1,  92.6,  97.0,  94.9
Hudson,01410000,     229.0,  97.8,  11.2 to 1,  90.1,  95.9,  93.5
Hull,01420000,      82.1, 100.0,  10.4 to 1,  85.6,  91.5,  97.6
Innovation Academy Charter (District),04350000,      69.8,  91.1,  11.4 to 1,  73.1,  79.7,  75.3
Ipswich,01440000,     156.1, 100.0,  10.8 to 1,  92.2,  95.5,  92.0
KIPP Academy Boston Charter School (District),04630000,      40.0,  73.8,  14.5 to 1,  41.3,  72.5,  34.9
KIPP Academy Lynn Charter (District),04290000,     106.9,  66.4,  15.0 to 1,  32.9,  78.5,  36.8
King Philip,06900000,     135.8, 100.0,  14.6 to 1,  80.2,  92.3,  94.9
Kingston,01450000,      68.2, 100.0,  15.6 to 1,  92.7, 100.0, 100.0
Lawrence,01490000,"   1,118.8",  93.5,  12.1 to 1,  66.1,  82.8,  83.3
Lawrence Family Development Charter (District),04540000,      63.0,  92.1,  12.4 to 1,  57.1, 100.0,  75.4
Lee,01500000,      71.2, 100.0,  10.0 to 1,  86.8,  93.0,  84.0
Leicester,01510000,     105.1,  98.1,  14.2 to 1,  90.5,  97.3,  90.3
Lenox,01520000,      79.5, 100.0,   9.8 to 1,  93.7,  96.2,  82.9
Leominster,01530000,     438.6,  98.4,  13.9 to 1,  85.1,  92.3,  80.9
Leverett,01540000,      16.9, 100.0,   8.4 to 1,  94.4,  94.1, 100.0
