2009-10 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Sudbury,02880000,     214.1,  99.1,     993,  94.3,  14.8 to 1
Sunderland,02890000,      14.2, 100.0,      76, 100.0,  13.1 to 1
Sutton,02900000,     113.4,  97.4,     539,  93.3,  14.5 to 1
Swampscott,02910000,     173.7,  98.6,     669,  98.7,  13.0 to 1
Swansea,02920000,     147.9, 100.0,"   1,214", 100.0,  14.1 to 1
Tantasqua,07700000,     145.2,  97.9,     474,  98.9,  12.3 to 1
Taunton,02930000,     504.7,  98.2,"   2,592",  98.5,  15.7 to 1
Tewksbury,02950000,     253.7,  98.0,     930,  98.4,  16.6 to 1
Tisbury,02960000,      36.8,  99.4,     153,  99.3,   8.3 to 1
Topsfield,02980000,      52.3, 100.0,     227, 100.0,  12.6 to 1
Tri County Regional Vocational Technical,08780000,      84.7,  90.0,     239,  99.6,  11.4 to 1
Triton,07730000,     217.9,  99.3,     781,  98.7,  14.6 to 1
Truro,03000000,      15.0,  96.0,      57,  87.7,   9.7 to 1
Tyngsborough,03010000,     138.0,  99.3,     597,  95.6,  14.7 to 1
Up-Island Regional,07740000,      40.4,  99.4,     177,  94.9,   7.9 to 1
Upper Cape Cod Regional Vocational Technical,08790000,      65.5,  92.4,     144, 100.0,  10.3 to 1
Uxbridge,03040000,     137.1, 100.0,     580, 100.0,  14.6 to 1
Wachusett,07750000,     459.1,  99.7,"   2,299",  99.2,  16.2 to 1
Wakefield,03050000,     239.8,  99.6,"   1,098",  99.5,  14.0 to 1
Wales,03060000,      11.3, 100.0,      44,  86.4,  15.0 to 1
Walpole,03070000,     265.0,  98.3,     993,  96.8,  14.9 to 1
Waltham,03080000,     424.0,  98.7,"   1,684",  98.8,  11.2 to 1
Ware,03090000,      90.3, 100.0,     294,  97.3,  14.5 to 1
Wareham,03100000,     238.8,  99.2,"   1,012",  98.9,  13.2 to 1
Watertown,03140000,     222.4,  98.2,     782,  99.2,  11.7 to 1
Wayland,03150000,     195.6,  97.2,     852,  98.7,  14.0 to 1
Webster,03160000,     131.2,  99.2,     490,  92.4,  14.8 to 1
Wellesley,03170000,     364.7,  98.4,"   1,717",  96.6,  13.3 to 1
Wellfleet,03180000,      18.3, 100.0,      64, 100.0,   8.1 to 1
West Boylston,03220000,      71.9,  98.6,     285,  97.9,  14.1 to 1
West Bridgewater,03230000,      80.0, 100.0,     219, 100.0,  16.2 to 1
West Springfield,03320000,     296.9,  98.0,"   1,350",  92.1,  13.3 to 1
Westborough,03210000,     259.3,  99.6,"   1,139", 100.0,  13.8 to 1
Westfield,03250000,     474.5,  99.5,"   1,496",  99.5,  12.9 to 1
Westford,03260000,     360.5,  98.3,"   1,705",  97.6,  14.6 to 1
Westhampton,03270000,      11.6, 100.0,      44, 100.0,  12.1 to 1
Weston,03300000,     195.2,  99.7,     714,  99.2,  12.2 to 1
Westport,03310000,     122.8, 100.0,     509, 100.0,  15.4 to 1
Westwood,03350000,     224.9,  98.1,"   1,011",  98.5,  13.8 to 1
Weymouth,03360000,     447.9,  98.7,"   2,076",  99.1,  15.4 to 1
Whately,03370000,      10.0, 100.0,      47, 100.0,  13.2 to 1
Whitman-Hanson,07800000,     262.3,  99.2,"   1,537",  99.3,  17.0 to 1
Whittier Regional Vocational Technical,08850000,     116.8,  99.1,     108, 100.0,  10.3 to 1
Williamsburg,03400000,      14.8, 100.0,      60, 100.0,  11.2 to 1
Williamstown,03410000,      32.9, 100.0,     129,  94.6,  13.0 to 1
Wilmington,03420000,     273.9, 100.0,"   1,014", 100.0,  13.8 to 1
Winchendon,03430000,     102.0,  97.6,     451,  92.2,  15.9 to 1
Winchester,03440000,     284.3,  99.2,"   1,337", 100.0,  14.8 to 1
Winthrop,03460000,     142.3,  97.2,     623,  93.9,  13.8 to 1
Woburn,03470000,     369.1,  98.9,"   1,712",  99.4,  12.9 to 1
Worcester,03480000,"   1,716.0",  98.0,"   6,088",  98.8,  14.0 to 1
Wrentham,03500000,      72.6, 100.0,     276,  99.3,  17.5 to 1
State Totals,00000000,"  69,908.9",  97.1," 280,489",  97.3,  13.7 to 1
