2012-13 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Haverhill,01280000,     512.5,  97.2,"   3,134",  97.3,  13.8 to 1
Hawlemont,06850000,       7.0,  80.0,      34,  82.4,  13.7 to 1
Hill View Montessori Charter Public (District),04550000,      21.5,  77.9,      92,  95.7,  14.1 to 1
Hilltown Cooperative Charter  Public (District),04500000,      14.7,  88.1,      56, 100.0,  11.7 to 1
Hingham,01310000,     266.7,  99.2,"   1,337", 100.0,  15.8 to 1
Holbrook,01330000,      87.3,  98.4,     353,  98.0,  14.2 to 1
Holland,01350000,      17.4, 100.0,      75, 100.0,  13.4 to 1
Holliston,01360000,     213.3,  98.1,"   1,128",  98.3,  13.2 to 1
Holyoke,01370000,     503.6,  96.1,"   2,488",  95.1,  11.5 to 1
Holyoke Community Charter (District),04530000,      50.1,  85.7,     159,  93.7,  14.0 to 1
Hopedale,01380000,      82.0,  97.6,     364, 100.0,  15.4 to 1
Hopkinton,01390000,     243.5, 100.0,"   1,494",  99.5,  14.0 to 1
Hudson,01410000,     235.9,  99.1,"   1,124",  98.0,  12.3 to 1
Hull,01420000,      88.7, 100.0,     417, 100.0,  12.0 to 1
Innovation Academy Charter (District),04350000,      59.6,  78.2,     339, 100.0,  11.1 to 1
Ipswich,01440000,     151.7,  98.0,     832,  98.2,  13.5 to 1
KIPP Academy Boston Charter School (District),04630000,       8.2,  12.2,      18,   0.0,   8.8 to 1
KIPP Academy Lynn Charter (District),04290000,      49.2,  60.8,     126,  74.6,  11.6 to 1
King Philip,06900000,     119.4,  99.9,     632,  99.2,  18.0 to 1
Kingston,01450000,      59.7, 100.0,     286, 100.0,  19.0 to 1
Lanesborough,01480000,      19.6, 100.0,      80, 100.0,  11.3 to 1
Lawrence,01490000,"   1,033.5",  93.4,"   4,637",  96.0,  12.7 to 1
Lawrence Family Development Charter (District),04540000,      54.0,  94.4,     315, 100.0,  11.7 to 1
Lee,01500000,      71.8,  98.6,     333,  93.4,  10.5 to 1
Leicester,01510000,     109.5, 100.0,     576, 100.0,  15.7 to 1
Lenox,01520000,      77.1, 100.0,     407, 100.0,  10.2 to 1
Leominster,01530000,     448.1,  99.2,"   2,399",  97.0,  13.8 to 1
Leverett,01540000,      14.6,  92.5,      68, 100.0,   9.8 to 1
