District Name,District Code,Locale,Teacher % Retained,Year,Retention Category,Total Expenditures per Pupil,Adjusted Total Expenditures per Pupil,Adjusted Expenditures Category,Average Salary,Adjusted Average Salary,Adjusted Salary Category,Average Class Size,Class Size Category
ludlow,1610000,Suburban,84.6,2011,low,12113.25,11917.79811097990,low,57485.0,56557.45769382130,low,18.6,medium
lunenburg,1620000,Suburban,92.3,2011,high,11080.07,10901.288862652500,low,70771.0,69629.08303817400,medium,24.7,large
lynn,1630000,Suburban,90.3,2011,medium,12699.01,12494.106650924800,low,63511.0,62486.225895316800,low,19.8,large
lynnfield,1640000,Suburban,91.4,2011,high,11475.45,11290.289256198300,low,71387.0,70235.14364423460,high,20.9,large
malden,1650000,Suburban,92.0,2011,high,12357.64,12158.244785517500,low,75366.0,74149.94096812280,high,22.2,large
manchester essex regional,6980000,Suburban,88.0,2011,medium,13274.19,13060.005903187700,low,66722.0,65645.41519086970,medium,19.4,large
mansfield,1670000,Suburban,92.6,2011,high,10553.62,10383.333333333300,low,68892.0,67780.40141676510,medium,23.8,large
marblehead,1680000,Suburban,88.9,2011,medium,12726.77,12521.41873278240,low,67538.0,66448.248720976,medium,19.5,large
marion,1690000,Suburban,93.8,2011,high,12788.24,12581.8968909878,low,81253.0,79941.95198740650,high,20.1,large
marlborough,1700000,Suburban,87.6,2011,medium,13949.4,13724.321133412000,low,66443.0,65370.91696182610,medium,18.0,medium
marshfield,1710000,Suburban,91.6,2011,high,10775.69,10601.820149547400,low,68434.0,67329.79142070050,medium,26.1,large
marthas vineyard,7000000,Suburban,87.0,2011,medium,24337.11,23944.421487603300,high,81719.0,80400.4329004329,high,13.5,small
masconomet,7050000,Suburban,90.7,2011,high,12849.81,12642.473435655300,low,79292.0,78012.59346713890,high,18.1,medium
mashpee,1720000,Suburban,87.7,2011,medium,14251.81,14021.85163321530,medium,69090.0,67975.20661157030,medium,14.2,small
mattapoisett,1730000,Suburban,92.3,2011,high,14030.75,13804.358520267600,low,69905.0,68777.05627705630,medium,18.2,medium
maynard,1740000,Suburban,83.8,2011,low,13436.93,13220.120031483700,low,62008.0,61007.47737111370,low,16.3,small
medfield,1750000,Suburban,84.6,2011,low,11298.18,11115.879574970500,low,71827.0,70668.04407713500,high,21.2,large
medway,1770000,Suburban,88.2,2011,medium,11641.4,11453.561589925200,low,70009.0,68879.37819756000,medium,18.6,medium
melrose,1780000,Suburban,83.6,2011,low,10587.8,10416.961826052700,low,56666.0,55751.67256985440,low,22.1,large
mendon-upton,7100000,Suburban,83.5,2011,low,10816.37,10641.84376229830,low,67073.0,65990.75167256990,medium,19.8,large
methuen,1810000,Suburban,91.7,2011,high,11722.43,11533.284140102300,low,72473.0,71303.62062180250,high,22.1,large
middleborough,1820000,Suburban,89.9,2011,medium,11426.35,11241.98150334510,low,66820.0,65741.83392365210,medium,22.8,large
middleton,1840000,Suburban,86.3,2011,medium,11762.32,11572.530499803200,low,68140.0,67040.5352223534,medium,16.8,medium
milford,1850000,Suburban,90.9,2011,high,12211.62,12014.580873671800,low,63956.0,62924.04565131840,low,19.5,large
millbury,1860000,Suburban,92.3,2011,high,12902.19,12694.008264462800,low,73713.0,72523.61275088550,high,18.6,medium
minuteman regional vocational technical,8300000,Rural,86.8,2011,medium,25372.72,24963.321526957900,high,84562.0,83197.56001574180,high,13.4,small
mohawk trail,7170000,Rural,81.3,2011,low,15187.86,14942.79811097990,medium,55664.0,54765.840220385700,low,15.0,small
monson,1910000,Rural,86.8,2011,medium,11713.33,11524.330972058200,low,61034.0,60049.19323101140,low,24.7,large
montachusett regional vocational technical,8320000,Suburban,94.2,2011,high,17014.55,16740.013774104700,medium,69255.0,68137.54427390790,medium,19.5,large
mount greylock,7150000,Rural,81.5,2011,low,16974.62,16700.728059819000,medium,72292.0,71125.54112554110,high,15.9,small
nantucket,1970000,Rural,88.9,2011,medium,20854.42,20517.92601338060,high,84927.0,83556.67060212510,high,16.3,small
narragansett,7200000,Rural,90.9,2011,high,12317.86,12119.106650924800,low,67495.0,66405.94254230620,medium,17.6,medium
nashoba,7250000,Suburban,92.2,2011,high,12498.33,12296.664698937400,low,69363.0,68243.80165289260,medium,19.5,large
nashoba valley regional vocational technical,8520000,Suburban,81.0,2011,low,15168.66,14923.907910271500,medium,70520.0,69382.13301849670,medium,15.5,small
natick,1980000,Suburban,89.1,2011,medium,12648.93,12444.834710743800,low,66070.0,65003.93545848090,medium,20.1,large
nauset,6600000,Suburban,90.7,2011,high,16258.09,15995.759543486800,medium,80505.0,79206.0212514758,high,16.1,small
needham,1990000,Suburban,90.4,2011,medium,13601.65,13382.182211727700,low,78328.0,77064.14797323890,high,19.8,large
new bedford,2010000,Suburban,88.8,2011,medium,13071.15,12860.242030696600,low,69402.0,68282.17237308150,medium,17.7,medium
new salem-wendell,7280000,Rural,73.3,2011,low,14068.57,13841.568280204600,low,50102.0,49293.58520267610,low,15.8,small
newburyport,2040000,Suburban,91.6,2011,high,13368.71,13153.000787091700,low,72536.0,71365.60409287680,high,19.8,large
newton,2070000,Urban,87.7,2011,medium,16397.2,16132.62495080680,medium,86560.0,85163.3215269579,high,19.2,large
norfolk,2080000,Suburban,88.6,2011,medium,12202.83,12005.932703660000,low,67514.0,66424.63597009050,medium,20.5,large
